,other_info,data_non_statistical,national_geographical_coverage,reporting_status,proxy_indicator,only_uk_data,geo_disag
16-b-1,"<p>A reliable estimate for transgender-identity cannot be produced due to small numbers in the survey  and are therefore not reported.</p><p>For details of the Crime Survey for England and Wales, see the <a href= 'https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/methodologies/crimeandjusticemethodology'>user guide</a>  to crime statistics for England and Wales.</p><p>Ethnic group is based on the 2011 Census definition of ethnic group which now includes Chinese in the Asian/Asian British group. For more information see section 7.3 of the <a href= 'https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/methodologies/crimeandjusticemethodology'>user guide.</a></p><p>The Washington Group on Disability Statistics are often used to provide a cross-nationally comparable population-based measures of disability. Please see the article <a href=""https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/disability/articles/measuringdisabilitycomparingapproaches/2019-08-06"">Measuring disability - comparing approaches</a> for a comparison between the GSS Harmonised measure (used here) and the Washington Group measure.</p> This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,England and Wales,complete,True,False,False
3-3-5,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,True
14-4-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,False
16-6-1,,False,,notstarted,False,False,
15-1-1,"<p>Woodland area estimates for Great Britain are based on the <a href=""https://data.gov.uk/dataset/cd748245-e68c-41e4-bb1a-4728bc64163c/national-forest-inventory-woodland-england-2018"">National Forest Inventory (NFI) Woodland map</a>. For Northern Ireland, following a change of methodology in 2012, woodland area estimates are based on the Northern Ireland Woodland Register. Figures for Northern Ireland (total and non-certified) and the whole of the UK (total and non-certified) prior to 2013 are available at <a href=""https://www.forestresearch.gov.uk/tools-and- resources/statistics/statistics-by-topic/woodland-statistics/"">Forest Research</a>, but are not shown here, as estimates before the change in methodology are not directly comparable to those after.<p>All certified woodland is certified under the Forest Stewardship Council (FSC) scheme or the Programme for the Endorsement of Forest Certification (PEFC) scheme, with many woodlands certified under both. Certified woodland areas are often used as an indicator of sustainable forest management, however, woodland that is not certified may also be sustainably managed. Some choose not to become certified because there is a cost involved in getting certified and there may be little incentive for woodland owners to get their woodlands certified if timber production is not a major objective.<p>Certification in the UK began in 1996. Data prior to 2004 are not presented here due to differences in methodology, which mean the data are not directly comparable.<p>New certificates may relate to existing woodland that was not previously certified, or to newly planted areas. <p>The land area and forest area measurements used here are ‘flat’ as they do not take into account variations in relief e.g. mountains and valleys.</p><p> For further information on the methodology and quality of woodland area estimates please see the Forest Research <a href=""https://www.forestresearch.gov.uk/documents/7647/PWS_2020.pdf"">2020 edition of Provisional Woodland Statistics</a>. Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,True
4-6-1,"This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has not been identified in collaboration with topic experts.",False,England,complete,True,False,False
3-8-2,"This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,False
9-3-1,"This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has not been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,False
3-5-2,Data follows the UN specification for this indicator. This indicator has not been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,False
17-18-3,Data follows the UN specification for this indicator. This indicator has not been identified in collaboration with topic experts.,True,,complete,False,False,
14-7-1,,False,,notstarted,False,False,
1-4-1,,False,,notstarted,False,False,
12-4-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,True,,complete,False,False,
4-c-1,"<p> Data is based on state-funded schools which includes - nursery, primary, secondary, special and centrally employed schools. </p> <p> The proportion of qualified teachers includes both full and part time teachers. An unqualified teacher is either a trainee working towards qualified teacher status (QTS); an overseas trained teacher who has not exceeded the four years they are allowed to teach without having QTS; or an instructor who has a particular skill who can be employed for so long as a qualified teacher is not available. </p> <p> More detailed information is available in the source publication. </p> This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,England,complete,True,False,True
2-a-1,Data follows the UN specification for this indicator. This indicator has not been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,
5-4-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,False
4-1-1,"For ages 7 and 11, figures before 2016 are not comparable to figures from 2016 onwards due to a change in assesments. This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,England,complete,True,False,True
10-b-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,False
3-7-2,"For the 10 to 14 age group, rates were calculated using births to mothers aged 14 and under, as this was the most detailed data available, and therefore could potentially include births to mothers aged under 10. The potential number of these births cannot be revealed for confidentiality reasons. Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,True
8-9-1,"Data are produced from the ONS UK Tourism Satellite Accounts, and ONS GDP statistics. Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,False
11-1-1,"<p>Dwellings failing the minimum standard are those posing a Category 1 hazard under the Housing Health and Safety Rating System (HHSRS).  From 2008 the survey is able to estimate the presence of 26 of the 29 HHSRS hazards. However to maintain consistency and avoid a break in the time series from 2006, Decent Homes estimates continue to be based on 15 hazards for the 'minimum standard' criterion. Estimates for the HHSRS tables (DA4101-3) are based on the 26 hazards covered by the survey.  For more information see <a href='https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/7812/138355.pdf'>A Decent Home -Definition and guidance for implementation</a>.</p><p>The Washington Group on Disability Statistics are often used to provide a cross-nationally comparable population-based measures of disability. Please see the article <a href=""https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/disability/articles/measuringdisabilitycomparingapproaches/2019-08-06"">Measuring disability - comparing approaches</a> for a comparison between the GSS Harmonised measure (used here) and the Washington Group measure.</p> This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,England,complete,True,False,False
3-3-4,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,England,complete,False,False,True
14-2-1,"This indicator is a component of UK Biodiversity Indicator C1, <a href=""http://jncc.defra.gov.uk/page-4241""> Protected areas</a> which comprises two additional measures - Total extent of protected areas - on-land; Condition of Areas / Sites of Special Scientific Interest. This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,
9-1-1,This data was produced in cooperation with ONS Geography. Data follows the UN specification for this indicator. This indicator has not been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,True
5-1-1,"The answers to the questions are coded with simple “Yes/No” answers with “1” for “Yes” and “0” for “No”. For questions 1 and 2 only, they may be scored “N/A” in which case they are not included as part of the overall score calculation for the area. Data follows the UN specification for this indicator. This indicator has not been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,False
2-b-1,,False,,notstarted,False,False,
4-4-1,"<p>The Washington Group on Disability Statistics are often used to provide a cross-nationally comparable population-based measures of disability. Please see the article <a href=""https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/disability/articles/measuringdisabilitycomparingapproaches/2019-08-06"">Measuring disability - comparing approaches</a> for a comparison between the GSS Harmonised measure (used here) and the Washington Group measure.</p> Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,Great Britain,complete,False,False,False
5-5-2,"<p>Disability status is only reported for ages 16 to 64 years. The headline and all other disaggregations cover ages 16 years and over.</p><p>The Washington Group on Disability Statistics are often used to provide a cross-nationally comparable population-based measures of disability. Please see the article <a href=""https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/disability/articles/measuringdisabilitycomparingapproaches/2019-08-06"">Measuring disability - comparing approaches</a> for a comparison between the GSS Harmonised measure (used here) and the Washington Group measure.</p> Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,True
16-8-1,"The indicator is calculated independently for eleven different international institutions - The United Nations General Assembly, the United Nations Security Council, the United Nations Economic and Social Council, the International Monetary Fund, the International Bank for Reconstruction and Development, the International Finance Corporation, the African Development Bank, the Asian Development Bank, the Inter-American Development Bank, the World Trade Organisation, and the Financial Stability Board. Data follows the UN specification for this indicator. This indicator has not been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,False
8-8-1,"Data for fatal and non-fatal workplace injuries do not include road traffic accidents. Rates for non-fatal injuries are based on self-reported non-fatal injury in the workplace (using the Labour Force Survey).    This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,Great Britain,complete,True,False,True
11-4-1,"This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has not been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,False
17-5-1,"Manufacturing Africa, formerly the Invest Africa programme, is a £100 million initiative that aims to increase foreign direct investment (FDI) into manufacturing in Africa. It does so by working with developing-country governments, international investors, buyers, and financiers – including from the UK. Over 10 years the programme will help create 90,000 jobs and generate £1.2 billion of new FDI. It will support developing countries to industrialise, produce higher value-added goods, and thereby transform their economies, creating high quality job opportunities for the poor. <br> <br>  The programme operates in 7 countries – this currently includes Ethiopia, Uganda, Rwanda, Kenya, Nigeria, Senegal and Cote D’Ivoire. This feeds into the [Global Britain agenda](https://www.gov.uk/government/collections/global-britain-delivering-on-our- international-ambition) – building wider and deeper global markets that will benefit the UK. <br> Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,
5-3-2,"The period April to March is used to report annual data for the number of cases of FGM in England.  Please note that individuals refers to all patiens in the reporting period where FGM was identified or a procedure for FGM was undertaken, and that therefore the year in which the case of FGM is reported may not be the same as the year in which FGM took place. In order to create percentages, mid-year estimates have been used from the year that covers the majority of the FGM reporting year; i.e. for the FGM reporting year 2014/15, 2014 mid-year estimates of population have been used.  This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,England,complete,True,False,True
11-2-1,,False,,notstarted,False,False,
2-2-2,"This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has not been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,True
6-4-2,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,
3-c-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,False
17-13-1,Data follows the UN specification for this indicator. This indicator has not been identified in collaboration with topic experts.,True,United Kingdom,complete,False,True,
9-b-1,"<p>Medium and high tech industries are defined for this indicator as those covered by the following ISIC revision 4 codes;</p><p>*20 - Manufacture of chemicals and chemical products</p><p>*21 - Manufacture of basic pharmaceutical products and pharmaceutical reparations</p><p>*254 - Manufacture of weapons and ammunition</p><p>*26 - Manufacture of computer, electronic and optical products</p><p>*27 - Manufacture of electrical equipment</p><p>*28 - Manufacture of machinery and equipment n.e.c.</p><p>*29 - Manufacture of motor vehicles, trailers and semi- trailers</p><p>*30 - Manufacture of other transport equipment, but excluding 351 (Building of ships and boats)</p><p>*325 - Manufacture of medical and dental instruments and supplies, not included in these figures</p><p>The manufacture of medical and dental instruments and supplies (ISIC4 325) have been excluded from the figures due to the small size of 325 meaning that it is not available as a specific breakdown.</p> Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,False
14-a-1,,False,,notstarted,False,False,
6-3-2,"Some small differences exist in the way the administrations and environment agencies implement the methods and tools for assessing water body status. The introduction of new Water Framework Directive (WFD) monitoring data and classification standards (including a new baseline adopting all of the new standards, tools, designations and water body boundaries) in 2014 has led to a step change in the number of water bodies assessed as being in each status class in following years. The formal reporting of new standards in cycle 2 of WFD has used the second cycle plans published in 2015.  The introduction of reporting the cycle 2 standards has differed amongst the UK countries. The percentage of water bodies in each status class has been calculated based on the total number of water bodies assessed in each year. The number of water body assessments included varies slightly from year to year. The reductions in the number of assessments made in 2015 and 2016 were primarily due to Wales and then England adopting the monitoring and classification standards laid down in Cycle 2 of the WFD. This resulted in the removal of a number of water bodies that were below the 10km2 catchment area in line with WFD guidance. While data is available from 2009, it is not reported here because data from 2015 onwards are not directly comparable to those in earlier years. Data from 2009 is available from the <a href= ""https://hub.jncc.gov.uk/assets/b6dbbc22-235a-4664-8192-3a178d32ffde"">Joint Nature Conservation Committee's</a> website. Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,True
3-2-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,True
3-d-1,"<p>Data are based on self-assessment by the UK.</p><p> Scores give the percentage of attributes that have been attained for each core capacity using a standard WHO instrument (questionnaire).</p><p> The headline figure for the UK is expressed as an average of all 13 core capacities. </p><p>UK data for 2016 and 2017 are available from the <a href=""https://apps.who.int/gho/data/view.sdg.3-d-data-ctry?lang=en""> World Health Organisation</a> but are not included here as they are not directly comparable with more recent data due to a change in the questionnaire used to collect data.</p><p> Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,False
7-1-2,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,
13-1-2,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,True,,complete,False,False,
7-a-1,"This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,False
3-4-1,Data follows the UN specification for this indicator. This indicator has not been identified in collaboration with topic experts.,False,England and Wales,complete,False,False,True
5-2-1,"<p>For details of the Crime Survey for England and Wales, see the <a href='https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/methodologies/userguidetocrimestatisticsforenglandandwales'>user guide to crime statistics for England and Wales.</a></p><p>The year format refers to the two years covered by the data, from April of the first year to March of the following year. For example, 2018/19 covers the period of April 2018 to March 2019.</p><p>For further information on the quality of the estimates please refer to the source data which provides the unweighted base sizes of the samples.</p><p>The sample size is lower between 2010/11 and 2012/13, and between 2017/18 and 2018/19 due to use of a split-sample experiment in these years. The methodological note titled <a href='http://webarchive.nationalarchives.gov.uk/20160106010543/http:/www.ons.gov.uk/ons/guide-method/method-quality/specific/crime-statistics-methodology/methodological-notes/split-sample-for-intimate-personal-violence-2013-14.pdf'>Split sample for intimate personal violence 2013-14</a> provides further information.</p><p>New questions were introduced into the survey in 2010/11 and were further revised for the survey year 2012/13. Estimates from 2012/13 onwards are calculated using these new questions. Estimates for earlier years are calculated from the original questions with an adjustment applied to make them comparable to the new questions.</p><p>The Washington Group on Disability Statistics are often used to provide a cross-nationally comparable population-based measures of disability. Please see the article <a href = ""https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/disability/articles/measuringdisabilitycomparingapproaches/2019-08-06"">Measuring disability - comparing approaches</a> for a comparison between the GSS Harmonised measure (used here) and the Washington Group measure.</p> This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,England and Wales,complete,True,False,True
3-3-1,"<p>Some rates have been suppressed to eliminate the risk of deductive disclosure (numerator <5 and denominator <10,000). Secondary masking has been undertaken where necessary. Where rates have been suppressed no point is shown on the chart, a '-' is shown in the table, and value is left blank in the csv.</p><p>For further information and analyses please see the PHE publications <a href=""https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/835084/hpr3119_hiv18-v2.pdf"">'Trends in new HIV diagnoses and in people receiving HIV- related care in the United Kingdom- data to the end of December 2018'</a>, and <a href=""https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/858559/HIV_in_the_UK_2019_towards_zero_HIV_transmissions_by_2030.pdf"">'HIV in the UK- towards zero HIV transmissions by 2030, 2019 report'</a>.</p> Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,True
8-b-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,True,,complete,False,False,
2-2-1,,False,,notstarted,False,False,
16-10-1,,False,,notstarted,False,False,
12-5-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,True
1-5-1,"For more information, please see [Mortality Statistics Quality and Methodology Information](http://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/qmis/mortalitystatisticsinenglandandwalesqmi). This document contains important information on the strengths and limitations of the data, the quality of the output including the accuracy of the data, how it compares with related data, uses and users and how the output was created. This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,England and Wales,complete,True,False,True
8-10-2,Data follows the UN specification for this indicator. This indicator has not been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,False
11-b-2,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,True,,complete,False,False,
2-3-2,"This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has not been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,False
4-3-1,The survey sampled individuals in England aged 19 and over who were not in continuous full-time education or who had returned to full-time education following a break of more than two years. Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,England,complete,False,False,True
9-2-2,"<p>The Washington Group on Disability Statistics are often used to provide a cross-nationally comparable population-based measures of disability. Please see the article <a href=""https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/disability/articles/measuringdisabilitycomparingapproaches/2019-08-06"">Measuring disability - comparing approaches</a> for a comparison between the GSS Harmonised measure (used here) and the Washington Group measure.</p><p> Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,True
12-4-2,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,False
16-2-2,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,True,,complete,False,False,
17-15-1,,False,,notstarted,False,False,
1-5-3,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,True,United Kingdom,complete,False,True,
6-5-2,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,True,United Kingdom,complete,False,True,
1-2-2,"At persistent risk of poverty rate by age and gender (cut-off point - 60% of median equivalised income) This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,False
15-b-1,"Figures may not sum due to rounding.  This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has not been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,False
5-a-2,,True,Great Britain,complete,False,False,
1-5-2,,False,,notstarted,False,False,
17-2-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,False
12-1-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,True,,complete,False,False,
3-d-2,,False,,notstarted,False,False,
16-1-4,"<p>For details of the Crime Survey for England and Wales, see the <a href='https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/methodologies/crimeandjusticemethodology'>user guide to crime statistics for England and Wales.</a></p><p>The year format refers to the two years covered by the data, from April of the first year to March of the following year. For example, 2018/19 covers the period of April 2018 to March 2019.</p><p>For further information on the quality of the estimates please refer to the source data which provides the unweighted base sizes of the samples.</p><p>The Washington Group on Disability Statistics are often used to provide a cross-nationally comparable population-based measures of disability. Please see the article <a href=""https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/disability/articles/measuringdisabilitycomparingapproaches/2019-08-06"">Measuring disability - comparing approaches</a> for a comparison between the GSS Harmonised measure (used here) and the Washington Group measure.</p><p>Data by disability status are available from 2006/07, however this is based on detailed breakdowns and does not align to the core definition under the 2010 Equality Act. This data are available in the <a href='https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/adhocs/009871percentageofadultswhofeltveryorfairlysafewhenwalkingaloneinthedarkbypersonalandhouseholdcharacteristicsyearendingmarch2018csew'>2017/18 dataset</a> and <a href='https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/adhocs/008580confidenceintervalsaroundcsewestimatesoftheproportionofpeoplewhofeelveryfairlysafewalkingaloneafterdark'>2006/07 to 2016/17 dataset.</a></p> This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,England and Wales,complete,True,False,True
8-1-1,"<p>Data going back to 1956 are available from the UK Economic Accounts (see Sources tab).<p> Data follows the UN specification for this indicator, with the exception that  values have not been converted to US dollars. This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,
17-9-1,Figures may not sum due to rounding.  Data follows the UN specification for this indicator. This indicator has not been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,False
3-4-2,"1) Figures are for deaths registered, rather than deaths occurring in each calendar year. Due to the length of time it takes to complete a coroner's inquest, it can take months or even years for a suicide to be registered. 2) The large increase seen in Northern Ireland between 2004 and 2006 coincides with a change to the Coroners’ Service. Prior to April 2006, there were seven Coroners’ districts in Northern Ireland. Following a review of the Coroners’ Service, the separate districts were amalgamated into one centralised Coroners’ Service. Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,True
9-1-2,"Data on Source only goes back to 2008. Data from 2007 is from previous release This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has not been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,False
17-1-2,Government current expenditure excludes capital investment in infrastructure. Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,False
12-b-1,,False,,notstarted,False,False,
13-a-1,"This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",True,,complete,True,False,
10-7-3,,False,,notstarted,False,False,
2-2-3,,False,,notstarted,False,False,
13-b-1,"This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has not been identified in collaboration with topic experts.",True,United Kingdom,complete,True,True,
16-3-3,,False,,notstarted,False,False,
15-9-1,Data follows the UN specification for this indicator. This indicator has not been identified in collaboration with topic experts.,True,,complete,False,False,
17-3-1,,False,,notstarted,False,False,
10-7-4,,False,,notstarted,False,False,
2-4-1,,False,,notstarted,False,False,
13-2-1,This indicator has not been identified in collaboration with topic experts.,True,,complete,False,False,
12-a-1,,False,,notstarted,False,False,
6-3-1,,False,,notstarted,False,False,
17-17-1,,False,,notstarted,False,False,
10-4-2,,False,,notstarted,False,False,
1-b-1,,False,,notstarted,False,False,
11-a-1,,False,,notstarted,False,False,
4-1-2,,False,,notstarted,False,False,
1-a-1,,False,,notstarted,False,False,
7-b-1,,False,,notstarted,False,False,
